",""CS"",""res"",""nres"",""trial"",""rt"",""hrv"",""ID"""
"135,""CS3"",""R2"",4,""45"",917,613,""02mi"""
"138,""CS3"",""R2"",4,""46"",669,641.5,""02mi"""
"139,""CS3"",""R1"",4,""47"",1131,638,""02mi"""
"141,""CS3"",""R2"",4,""48"",876,612,""02mi"""
"143,""CS3"",""R1"",4,""49"",720,626,""02mi"""
"147,""CS3"",""R2"",3,""50"",1170,609,""02mi"""
"212,""CS-"",""R1"",3,""1"",1089,848,""04mr"""
"512,""CS-"",""R1"",4,""2"",602,595,""04mr"""
"712,""CS-"",""R1"",3,""3"",728,627,""04mr"""
"1012,""CS-"",""R1"",3,""4"",726,611,""04mr"""
"1512,""CS-"",""R2"",3,""5"",1419,627,""04mr"""
"1812,""CS-"",""R2"",4,""6"",679,608,""04mr"""
"242,""CS-"",""R1"",4,""7"",646,752,""04mr"""
"322,""CS-"",""R1"",4,""8"",861,609,""04mr"""
"332,""CS-"",""R1"",4,""9"",718,602,""04mr"""
"392,""CS-"",""R1"",4,""10"",734,596,""04mr"""
"422,""CS-"",""R1"",4,""11"",701,632,""04mr"""
"452,""CS-"",""R2"",4,""12"",655,713,""04mr"""
"502,""CS-"",""R2"",3,""13"",1028,597,""04mr"""
"612,""CS-"",""R1"",4,""14"",700,664,""04mr"""
"641,""CS-"",""R2"",4,""15"",625,623.5,""04mr"""
"692,""CS-"",""R2"",4,""16"",610,633,""04mr"""
"722,""CS-"",""R1"",4,""17"",837,616,""04mr"""
"732,""CS-"",""R2"",4,""18"",724,700,""04mr"""
"782,""CS-"",""R1"",4,""19"",830,609,""04mr"""
"802,""CS-"",""R1"",4,""20"",655,680,""04mr"""
"862,""CS-"",""R1"",4,""21"",618,612,""04mr"""
"912,""CS-"",""R2"",4,""22"",671,672,""04mr"""
"962,""CS-"",""R2"",4,""23"",739,610,""04mr"""
"982,""CS-"",""R2"",4,""24"",584,632,""04mr"""
"1013,""CS-"",""R2"",4,""25"",722,839,""04mr"""
"1042,""CS-"",""R2"",4,""26"",647,696,""04mr"""
"1052,""CS-"",""R2"",4,""27"",713,635,""04mr"""
"1062,""CS-"",""R2"",4,""28"",637,636,""04mr"""
"1072,""CS-"",""R2"",4,""29"",676,630,""04mr"""
"1082,""CS-"",""R2"",4,""30"",629,623,""04mr"""
"1272,""CS-"",""R1"",4,""31"",717,618,""04mr"""
"1282,""CS-"",""R1"",4,""32"",793,634,""04mr"""
"1372,""CS-"",""R2"",4,""33"",823,617,""04mr"""
"1392,""CS-"",""R1"",4,""34"",903,648,""04mr"""
"1442,""CS-"",""R2"",4,""35"",682,648,""04mr"""
"1452,""CS-"",""R2"",4,""36"",645,627,""04mr"""
"1462,""CS-"",""R2"",4,""37"",852,840,""04mr"""
"1502,""CS-"",""R1"",4,""38"",707,652,""04mr"""
"1572,""CS-"",""R1"",4,""39"",749,831,""04mr"""
"1602,""CS-"",""R2"",4,""40"",662,621,""04mr"""
