",""CS"",""res"",""nres"",""trial"",""rt"",""hrv"",""ID"""
"20022,""CS-"",""R2"",10,""50"",674,626.5,""27ls"""
"6109,""CS1"",""R2"",9,""1"",618,632,""27ls"""
"13109,""CS1"",""R2"",9,""2"",659,640,""27ls"""
"15109,""CS1"",""R2"",9,""3"",673,605.5,""27ls"""
"19106,""CS1"",""R1"",9,""4"",613,630.5,""27ls"""
"2034,""CS1"",""R2"",9,""5"",1170,609,""27ls"""
"2327,""CS1"",""R1"",8,""6"",624,629.5,""27ls"""
"3129,""CS1"",""R2"",10,""7"",642,607,""27ls"""
"3725,""CS1"",""R1"",9,""8"",719,611,""27ls"""
"3924,""CS1"",""R1"",8,""9"",1126,618,""27ls"""
"4024,""CS1"",""R2"",9,""10"",666,602,""27ls"""
"4225,""CS1"",""R1"",10,""11"",688,625,""27ls"""
"4325,""CS1"",""R1"",9,""12"",716,622.5,""27ls"""
"4525,""CS1"",""R1"",9,""13"",592,612,""27ls"""
"4625,""CS1"",""R2"",8,""14"",672,644,""27ls"""
"5624,""CS1"",""R1"",9,""15"",655,626.5,""27ls"""
"5925,""CS1"",""R1"",9,""16"",663,625.5,""27ls"""
"6129,""CS1"",""R2"",9,""17"",755,623,""27ls"""
"6227,""CS1"",""R1"",9,""18"",718,634.5,""27ls"""
"7324,""CS1"",""R1"",9,""19"",838,621,""27ls"""
"7425,""CS1"",""R1"",9,""20"",850,617,""27ls"""
"8924,""CS1"",""R2"",9,""21"",732,645.5,""27ls"""
"9225,""CS1"",""R1"",9,""22"",731,648,""27ls"""
"10025,""CS1"",""R2"",9,""23"",680,590.5,""27ls"""
"10324,""CS1"",""R2"",9,""24"",747,593,""27ls"""
"10425,""CS1"",""R1"",9,""25"",728,584,""27ls"""
"10525,""CS1"",""R2"",8,""26"",1586,582,""27ls"""
"10625,""CS1"",""R1"",9,""27"",689,625.5,""27ls"""
"10925,""CS1"",""R2"",9,""28"",706,589,""27ls"""
"11028,""CS1"",""R1"",9,""29"",813,634.5,""27ls"""
"11425,""CS1"",""R1"",8,""30"",734,578,""27ls"""
"12325,""CS1"",""R2"",9,""31"",771,614,""27ls"""
"12525,""CS1"",""R1"",9,""32"",729,628,""27ls"""
"12625,""CS1"",""R2"",9,""33"",870,631,""27ls"""
"14325,""CS1"",""R2"",8,""34"",1155,649.5,""27ls"""
"14425,""CS1"",""R1"",8,""35"",1222,648,""27ls"""
"15226,""CS1"",""R1"",9,""36"",682,643.5,""27ls"""
"15326,""CS1"",""R2"",9,""37"",672,644,""27ls"""
"15524,""CS1"",""R2"",9,""38"",854,602,""27ls"""
"15825,""CS1"",""R2"",9,""39"",760,618.5,""27ls"""
"15925,""CS1"",""R1"",9,""40"",903,611,""27ls"""
"17325,""CS1"",""R1"",9,""41"",867,616,""27ls"""
"17725,""CS1"",""R1"",9,""42"",742,626.5,""27ls"""
"18226,""CS1"",""R2"",9,""43"",684,608,""27ls"""
"18522,""CS1"",""R2"",9,""44"",960,614.5,""27ls"""
"18623,""CS1"",""R1"",9,""45"",758,630.5,""27ls"""
"18822,""CS1"",""R1"",9,""46"",669,601,""27ls"""
"19023,""CS1"",""R2"",9,""47"",788,636,""27ls"""
"19323,""CS1"",""R1"",10,""48"",820,604,""27ls"""
"19422,""CS1"",""R2"",9,""49"",1170,608.5,""27ls"""
"19922,""CS1"",""R2"",9,""50"",910,620,""27ls"""
"7109,""CS2"",""R1"",9,""1"",764,608,""27ls"""
"8109,""CS2"",""R1"",8,""2"",821,612,""27ls"""
"11129,""CS2"",""R1"",9,""3"",654,612.5,""27ls"""
"17109,""CS2"",""R1"",9,""4"",721,605,""27ls"""
"2228,""CS2"",""R2"",10,""5"",732,624,""27ls"""
"2625,""CS2"",""R1"",9,""6"",708,616.5,""27ls"""
"2725,""CS2"",""R2"",9,""7"",721,602,""27ls"""
"3226,""CS2"",""R2"",10,""8"",576,621,""27ls"""
"3524,""CS2"",""R1"",9,""9"",680,648,""27ls"""
"3825,""CS2"",""R2"",10,""10"",635,610.5,""27ls"""
"4925,""CS2"",""R1"",10,""11"",685,618,""27ls"""
"5025,""CS2"",""R2"",9,""12"",694,631,""27ls"""
"5129,""CS2"",""R2"",9,""13"",751,611,""27ls"""
"5226,""CS2"",""R1"",9,""14"",740,603,""27ls"""
"5825,""CS2"",""R2"",10,""15"",626,625,""27ls"""
"6325,""CS2"",""R2"",8,""16"",1550,627.5,""27ls"""
"6825,""CS2"",""R2"",10,""17"",596,680,""27ls"""
"6924,""CS2"",""R1"",9,""18"",997,622.5,""27ls"""
"7128,""CS2"",""R1"",9,""19"",763,651,""27ls"""
"7625,""CS2"",""R2"",9,""20"",739,664.5,""27ls"""
"8128,""CS2"",""R2"",9,""21"",663,605,""27ls"""
"8227,""CS2"",""R2"",9,""22"",648,614.5,""27ls"""
"8325,""CS2"",""R2"",9,""23"",658,626.5,""27ls"""
"9025,""CS2"",""R1"",9,""24"",707,664,""27ls"""
"9325,""CS2"",""R2"",9,""25"",842,615.5,""27ls"""
"9524,""CS2"",""R1"",9,""26"",828,639,""27ls"""
"9625,""CS2"",""R2"",9,""27"",873,595,""27ls"""
"11327,""CS2"",""R1"",9,""28"",674,624,""27ls"""
"11623,""CS2"",""R2"",9,""29"",832,603,""27ls"""
"11724,""CS2"",""R1"",9,""30"",705,680,""27ls"""
"12227,""CS2"",""R2"",9,""31"",794,607,""27ls"""
"12424,""CS2"",""R2"",8,""32"",1146,640,""27ls"""
"12825,""CS2"",""R2"",9,""33"",722,611,""27ls"""
"13024,""CS2"",""R1"",9,""34"",1018,633,""27ls"""
"13625,""CS2"",""R2"",10,""35"",697,639,""27ls"""
"13825,""CS2"",""R2"",9,""36"",639,616,""27ls"""
"14128,""CS2"",""R1"",9,""37"",696,652,""27ls"""
"14227,""CS2"",""R1"",9,""38"",638,655,""27ls"""
"14525,""CS2"",""R2"",9,""39"",866,611,""27ls"""
"14825,""CS2"",""R2"",8,""40"",1454,616,""27ls"""
"16129,""CS2"",""R1"",7,""41"",1910,640,""27ls"""
"16227,""CS2"",""R2"",8,""42"",919,631.5,""27ls"""
"16825,""CS2"",""R1"",8,""43"",1023,680,""27ls"""
"17129,""CS2"",""R1"",9,""44"",1084,614,""27ls"""
"17525,""CS2"",""R1"",8,""45"",717,613.5,""27ls"""
"17625,""CS2"",""R2"",9,""46"",632,631,""27ls"""
"18024,""CS2"",""R2"",9,""47"",749,613,""27ls"""
"18723,""CS2"",""R2"",8,""48"",996,632,""27ls"""
"19128,""CS2"",""R1"",8,""49"",1393,616.5,""27ls"""
"19225,""CS2"",""R2"",9,""50"",1283,616.5,""27ls"""
"3109,""CS3"",""R2"",9,""1"",609,608,""27ls"""
"5109,""CS3"",""R2"",9,""2"",943,622,""27ls"""
"9130,""CS3"",""R1"",9,""3"",674,603.5,""27ls"""
"10109,""CS3"",""R2"",9,""4"",651,621,""27ls"""
"12129,""CS3"",""R1"",9,""5"",706,618.5,""27ls"""
"14109,""CS3"",""R1"",9,""6"",634,609,""27ls"""
"2527,""CS3"",""R2"",9,""7"",882,641,""27ls"""
"2825,""CS3"",""R1"",10,""8"",619,627.5,""27ls"""
"3025,""CS3"",""R2"",9,""9"",618,627,""27ls"""
"3326,""CS3"",""R1"",10,""10"",669,640,""27ls"""
"4425,""CS3"",""R2"",8,""11"",723,609,""27ls"""
"5524,""CS3"",""R2"",9,""12"",765,615,""27ls"""
"5724,""CS3"",""R2"",9,""13"",1032,628,""27ls"""
"6524,""CS3"",""R2"",10,""14"",580,640,""27ls"""
"6724,""CS3"",""R2"",9,""15"",738,617,""27ls"""
"7024,""CS3"",""R2"",9,""16"",654,604.5,""27ls"""
"7525,""CS3"",""R1"",8,""17"",870,634,""27ls"""
"7725,""CS3"",""R2"",9,""18"",705,623,""27ls"""
"7824,""CS3"",""R1"",9,""19"",751,607.5,""27ls"""
"8025,""CS3"",""R1"",10,""20"",709,628.5,""27ls"""
"8424,""CS3"",""R1"",10,""21"",708,736,""27ls"""
"8724,""CS3"",""R1"",9,""22"",833,639,""27ls"""
"9825,""CS3"",""R2"",9,""23"",848,696,""27ls"""
"9925,""CS3"",""R1"",9,""24"",761,585.5,""27ls"""
"10129,""CS3"",""R1"",9,""25"",858,640,""27ls"""
"10227,""CS3"",""R1"",10,""26"",726,593,""27ls"""
"10724,""CS3"",""R1"",8,""27"",998,582.5,""27ls"""
"11130,""CS3"",""R2"",9,""28"",798,611.5,""27ls"""
"11227,""CS3"",""R1"",9,""29"",837,692,""27ls"""
"11825,""CS3"",""R2"",9,""30"",726,611,""27ls"""
"12130,""CS3"",""R2"",9,""31"",708,621.5,""27ls"""
"12925,""CS3"",""R2"",9,""32"",906,635,""27ls"""
"13224,""CS3"",""R2"",9,""33"",754,640,""27ls"""
"13424,""CS3"",""R1"",9,""34"",676,623,""27ls"""
"13525,""CS3"",""R1"",9,""35"",678,660,""27ls"""
"13725,""CS3"",""R1"",9,""36"",808,624,""27ls"""
"13924,""CS3"",""R1"",9,""37"",841,650.5,""27ls"""
"14024,""CS3"",""R2"",9,""38"",718,680,""27ls"""
"14625,""CS3"",""R1"",9,""39"",1026,648.5,""27ls"""
"14725,""CS3"",""R2"",9,""40"",701,625.5,""27ls"""
"16325,""CS3"",""R1"",9,""41"",798,600,""27ls"""
"16425,""CS3"",""R2"",9,""42"",922,608.5,""27ls"""
"16725,""CS3"",""R1"",9,""43"",742,611.5,""27ls"""
"16925,""CS3"",""R1"",9,""44"",822,636,""27ls"""
"17226,""CS3"",""R2"",9,""45"",829,616.5,""27ls"""
"17923,""CS3"",""R1"",9,""46"",889,728,""27ls"""
"18323,""CS3"",""R2"",8,""47"",1152,608,""27ls"""
"19623,""CS3"",""R2"",9,""48"",794,644,""27ls"""
"19722,""CS3"",""R1"",8,""49"",1407,604,""27ls"""
"19822,""CS3"",""R2"",9,""50"",777,615,""27ls"""
"3130,""CS-"",""R1"",6,""1"",1268,800,""28pc"""
"7129,""CS-"",""R1"",8,""2"",901,744,""28pc"""
"12131,""CS-"",""R2"",9,""3"",677,622.5,""28pc"""
"2130,""CS-"",""R1"",8,""4"",740,625,""28pc"""
"2229,""CS-"",""R2"",9,""5"",633,650.5,""28pc"""
"2328,""CS-"",""R1"",9,""6"",661,644,""28pc"""
"3327,""CS-"",""R1"",1,""7"",701,654.5,""28pc"""
"3426,""CS-"",""R1"",8,""8"",1172,682.5,""28pc"""
"3525,""CS-"",""R2"",9,""9"",635,860,""28pc"""
"3826,""CS-"",""R2"",9,""10"",867,619,""28pc"""
"4326,""CS-"",""R2"",9,""11"",749,668,""28pc"""
"4426,""CS-"",""R2"",9,""12"",937,676,""28pc"""
"4526,""CS-"",""R2"",9,""13"",988,701.5,""28pc"""
"4726,""CS-"",""R2"",9,""14"",686,638,""28pc"""
"5130,""CS-"",""R2"",7,""15"",1955,695.5,""28pc"""
"5625,""CS-"",""R2"",9,""16"",896,652.5,""28pc"""
"6025,""CS-"",""R2"",9,""17"",645,668,""28pc"""
"6525,""CS-"",""R2"",9,""18"",619,644.5,""28pc"""
"7130,""CS-"",""R2"",8,""19"",689,624,""28pc"""
"7227,""CS-"",""R2"",9,""20"",976,632.5,""28pc"""
"8228,""CS-"",""R2"",8,""21"",855,632.5,""28pc"""
"8425,""CS-"",""R2"",8,""22"",887,655,""28pc"""
"8826,""CS-"",""R2"",8,""23"",1778,675,""28pc"""
"10626,""CS-"",""R1"",7,""24"",1517,656,""28pc"""
"10926,""CS-"",""R2"",9,""25"",1078,654,""28pc"""
"11131,""CS-"",""R2"",7,""26"",701,619,""28pc"""
"11624,""CS-"",""R2"",8,""27"",963,640.5,""28pc"""
"11725,""CS-"",""R2"",8,""28"",1032,632,""28pc"""
"11826,""CS-"",""R2"",9,""29"",769,629,""28pc"""
"12025,""CS-"",""R2"",7,""30"",701,630.5,""28pc"""
"12132,""CS-"",""R1"",7,""31"",1712,626,""28pc"""
"12626,""CS-"",""R2"",8,""32"",1454,664,""28pc"""
"12926,""CS-"",""R1"",7,""33"",1605,752,""28pc"""
"13425,""CS-"",""R2"",9,""34"",970,680,""28pc"""
"13826,""CS-"",""R2"",8,""35"",653,648.5,""28pc"""
"14129,""CS-"",""R1"",8,""36"",982,630,""28pc"""
"14925,""CS-"",""R1"",3,""37"",701,704,""28pc"""
"15130,""CS-"",""R2"",7,""38"",750,631,""28pc"""
"15525,""CS-"",""R2"",9,""39"",836,628,""28pc"""
"15625,""CS-"",""R1"",6,""40"",701,651,""28pc"""
"16130,""CS-"",""R2"",9,""41"",684,630.5,""28pc"""
"16326,""CS-"",""R2"",7,""42"",701,664,""28pc"""
"16626,""CS-"",""R2"",8,""43"",1831,620,""28pc"""
"17426,""CS-"",""R2"",8,""44"",1206,629,""28pc"""
"18423,""CS-"",""R2"",9,""45"",669,671,""28pc"""
"18624,""CS-"",""R2"",8,""46"",1194,631,""28pc"""
"19024,""CS-"",""R1"",9,""47"",573,784,""28pc"""
"19423,""CS-"",""R1"",8,""48"",1153,640,""28pc"""
"19524,""CS-"",""R2"",8,""49"",825,714,""28pc"""
"19624,""CS-"",""R2"",7,""50"",1667,627,""28pc"""
"5131,""CS1"",""R1"",7,""1"",730,646,""28pc"""
"8129,""CS1"",""R2"",8,""2"",756,634,""28pc"""
"9131,""CS1"",""R1"",8,""3"",934,648,""28pc"""
"13129,""CS1"",""R1"",7,""4"",610,688,""28pc"""
"18129,""CS1"",""R2"",9,""5"",676,622,""28pc"""
"2726,""CS1"",""R2"",9,""6"",1003,624,""28pc"""
"2826,""CS1"",""R2"",8,""7"",701,635.5,""28pc"""
"3131,""CS1"",""R1"",8,""8"",1236,672,""28pc"""
"3227,""CS1"",""R2"",9,""9"",598,649,""28pc"""
"3925,""CS1"",""R2"",8,""10"",923,636,""28pc"""
"4926,""CS1"",""R1"",9,""11"",559,642,""28pc"""
"5227,""CS1"",""R1"",9,""12"",623,702.5,""28pc"""
"5525,""CS1"",""R1"",8,""13"",627,624,""28pc"""
"5725,""CS1"",""R1"",9,""14"",671,648,""28pc"""
"6228,""CS1"",""R1"",9,""15"",627,629,""28pc"""
"6326,""CS1"",""R1"",9,""16"",773,636.5,""28pc"""
"7325,""CS1"",""R1"",10,""17"",546,665.5,""28pc"""
"7426,""CS1"",""R1"",10,""18"",594,688,""28pc"""
"7825,""CS1"",""R1"",9,""19"",563,633.5,""28pc"""
"7925,""CS1"",""R1"",9,""20"",632,688,""28pc"""
"8625,""CS1"",""R1"",9,""21"",543,661,""28pc"""
"8725,""CS1"",""R1"",10,""22"",639,626,""28pc"""
"9326,""CS1"",""R2"",9,""23"",897,672.5,""28pc"""
"9426,""CS1"",""R2"",8,""24"",815,627.5,""28pc"""
"9725,""CS1"",""R1"",8,""25"",703,736,""28pc"""
"9926,""CS1"",""R2"",8,""26"",1025,664,""28pc"""
"10426,""CS1"",""R2"",8,""27"",739,618,""28pc"""
"11029,""CS1"",""R2"",8,""28"",1749,626,""28pc"""
"11426,""CS1"",""R2"",9,""29"",613,681,""28pc"""
"11526,""CS1"",""R1"",6,""30"",701,660,""28pc"""
"12726,""CS1"",""R2"",8,""31"",1199,636,""28pc"""
"13025,""CS1"",""R2"",7,""32"",1887,644.5,""28pc"""
"13130,""CS1"",""R2"",9,""33"",650,626,""28pc"""
"13225,""CS1"",""R2"",9,""34"",638,660,""28pc"""
"13626,""CS1"",""R1"",9,""35"",695,618.5,""28pc"""
"14426,""CS1"",""R2"",7,""36"",701,627.5,""28pc"""
"14526,""CS1"",""R2"",9,""37"",591,651,""28pc"""
"15227,""CS1"",""R1"",9,""38"",573,752,""28pc"""
"15426,""CS1"",""R1"",8,""39"",1424,639,""28pc"""
"15826,""CS1"",""R1"",9,""40"",819,624.5,""28pc"""
"16228,""CS1"",""R1"",8,""41"",1074,622,""28pc"""
"16426,""CS1"",""R1"",7,""42"",1879,627,""28pc"""
"16826,""CS1"",""R1"",7,""43"",701,760,""28pc"""
"17825,""CS1"",""R1"",9,""44"",635,624,""28pc"""
"18130,""CS1"",""R1"",9,""45"",573,629,""28pc"""
"18227,""CS1"",""R1"",9,""46"",306,672,""28pc"""
"18823,""CS1"",""R1"",9,""47"",675,637,""28pc"""
"19226,""CS1"",""R2"",8,""48"",1031,631,""28pc"""
"19324,""CS1"",""R2"",8,""49"",1201,646,""28pc"""
"19723,""CS1"",""R2"",7,""50"",1474,640,""28pc"""
"11005,""CS2"",""R1"",3,""1"",1957,2004,""28pc"""
"2132,""CS2"",""R2"",4,""2"",701,852,""28pc"""
"4131,""CS2"",""R2"",5,""3"",701,630.5,""28pc"""
"11132,""CS2"",""R1"",8,""4"",986,648.5,""28pc"""
"15131,""CS2"",""R2"",8,""5"",599,626,""28pc"""
"2428,""CS2"",""R1"",9,""6"",726,632,""28pc"""
"2626,""CS2"",""R1"",7,""7"",1118,626,""28pc"""
"3026,""CS2"",""R1"",8,""8"",777,643,""28pc"""
"3626,""CS2"",""R1"",9,""9"",678,628.5,""28pc"""
"4025,""CS2"",""R1"",5,""10"",701,657.5,""28pc"""
"4132,""CS2"",""R1"",8,""11"",1221,644,""28pc"""
"4826,""CS2"",""R1"",9,""12"",611,642,""28pc"""
"5026,""CS2"",""R2"",9,""13"",955,649.5,""28pc"""
"5325,""CS2"",""R2"",8,""14"",1464,604,""28pc"""
"6130,""CS2"",""R2"",9,""15"",569,695,""28pc"""
"6826,""CS2"",""R2"",10,""16"",539,680,""28pc"""
"6925,""CS2"",""R2"",9,""17"",867,636,""28pc"""
"7526,""CS2"",""R2"",10,""18"",589,623,""28pc"""
"7626,""CS2"",""R2"",10,""19"",566,625,""28pc"""
"7726,""CS2"",""R2"",10,""20"",576,621,""28pc"""
"8130,""CS2"",""R2"",9,""21"",588,624,""28pc"""
"8525,""CS2"",""R2"",8,""22"",753,623,""28pc"""
"9132,""CS2"",""R1"",8,""23"",610,680,""28pc"""
"9226,""CS2"",""R1"",9,""24"",637,627.5,""28pc"""
"9826,""CS2"",""R1"",7,""25"",805,736,""28pc"""
"10228,""CS2"",""R2"",8,""26"",1201,631,""28pc"""
"10825,""CS2"",""R1"",7,""27"",701,639.5,""28pc"""
"11228,""CS2"",""R1"",7,""28"",1571,905,""28pc"""
"11328,""CS2"",""R2"",7,""29"",701,800,""28pc"""
"11926,""CS2"",""R2"",9,""30"",874,629.5,""28pc"""
"13326,""CS2"",""R1"",8,""31"",676,628,""28pc"""
"13526,""CS2"",""R2"",8,""32"",1643,892,""28pc"""
"13726,""CS2"",""R2"",8,""33"",914,628,""28pc"""
"14626,""CS2"",""R1"",6,""34"",701,820,""28pc"""
"14726,""CS2"",""R1"",9,""35"",998,630,""28pc"""
"14826,""CS2"",""R1"",9,""36"",647,639.5,""28pc"""
"15026,""CS2"",""R2"",8,""37"",1268,633,""28pc"""
"15327,""CS2"",""R2"",7,""38"",1842,632,""28pc"""
"15926,""CS2"",""R2"",8,""39"",1191,629,""28pc"""
"16026,""CS2"",""R2"",8,""40"",1580,632,""28pc"""
"16526,""CS2"",""R2"",8,""41"",829,696,""28pc"""
"16926,""CS2"",""R2"",7,""42"",701,623,""28pc"""
"17227,""CS2"",""R2"",7,""43"",1949,622,""28pc"""
"17326,""CS2"",""R2"",5,""44"",701,623,""28pc"""
"17726,""CS2"",""R2"",8,""45"",850,627,""28pc"""
"18523,""CS2"",""R2"",8,""46"",1252,641,""28pc"""
"18924,""CS2"",""R1"",9,""47"",598,633.5,""28pc"""
"19823,""CS2"",""R2"",8,""48"",1155,690,""28pc"""
"19923,""CS2"",""R2"",6,""49"",701,746.5,""28pc"""
"20023,""CS2"",""R2"",8,""50"",731,633,""28pc"""
"6131,""CS3"",""R2"",8,""1"",665,635,""28pc"""
"10130,""CS3"",""R2"",7,""2"",648,732,""28pc"""
"14130,""CS3"",""R2"",8,""3"",966,633,""28pc"""
"16131,""CS3"",""R1"",8,""4"",1217,653,""28pc"""
"17130,""CS3"",""R1"",8,""5"",634,629.5,""28pc"""
"19107,""CS3"",""R1"",9,""6"",985,637,""28pc"""
"2035,""CS3"",""R2"",8,""7"",664,662,""28pc"""
"2528,""CS3"",""R2"",9,""8"",652,632.5,""28pc"""
"2925,""CS3"",""R2"",8,""9"",804,629,""28pc"""
"3726,""CS3"",""R2"",2,""10"",701,648.5,""28pc"""
"4226,""CS3"",""R2"",9,""11"",672,679.5,""28pc"""
"4626,""CS3"",""R2"",9,""12"",584,648,""28pc"""
"5425,""CS3"",""R2"",9,""13"",858,653.5,""28pc"""
"5826,""CS3"",""R2"",9,""14"",636,673,""28pc"""
"5926,""CS3"",""R2"",7,""15"",701,683.5,""28pc"""
"6424,""CS3"",""R2"",8,""16"",878,650,""28pc"""
"6626,""CS3"",""R2"",10,""17"",616,630,""28pc"""
"6725,""CS3"",""R2"",6,""18"",701,635,""28pc"""
"7025,""CS3"",""R2"",8,""19"",1353,634,""28pc"""
"8026,""CS3"",""R2"",10,""20"",306,631.5,""28pc"""
"8326,""CS3"",""R2"",8,""21"",1280,628.5,""28pc"""
"8925,""CS3"",""R1"",9,""22"",586,647,""28pc"""
"9026,""CS3"",""R1"",9,""23"",617,640,""28pc"""
"9525,""CS3"",""R1"",8,""24"",1616,659,""28pc"""
"9626,""CS3"",""R2"",8,""25"",822,648,""28pc"""
"10026,""CS3"",""R2"",8,""26"",936,632,""28pc"""
"10131,""CS3"",""R1"",9,""27"",656,656,""28pc"""
"10325,""CS3"",""R2"",6,""28"",701,736,""28pc"""
"10526,""CS3"",""R1"",8,""29"",918,635,""28pc"""
"10725,""CS3"",""R2"",6,""30"",701,655,""28pc"""
"12228,""CS3"",""R1"",8,""31"",1800,664,""28pc"""
"12326,""CS3"",""R2"",9,""32"",637,640,""28pc"""
"12425,""CS3"",""R1"",9,""33"",799,920,""28pc"""
"12526,""CS3"",""R2"",8,""34"",614,792,""28pc"""
"12826,""CS3"",""R1"",9,""35"",692,NA,""28pc"""
"13925,""CS3"",""R2"",5,""36"",701,644.5,""28pc"""
"14025,""CS3"",""R2"",9,""37"",547,637.5,""28pc"""
"14228,""CS3"",""R1"",7,""38"",701,631.5,""28pc"""
"14326,""CS3"",""R1"",9,""39"",618,627.5,""28pc"""
"15726,""CS3"",""R2"",7,""40"",1566,816,""28pc"""
"16726,""CS3"",""R2"",7,""41"",701,624,""28pc"""
"17025,""CS3"",""R2"",9,""42"",984,633,""28pc"""
"17131,""CS3"",""R2"",8,""43"",1691,628,""28pc"""
"17526,""CS3"",""R2"",7,""44"",1973,616,""28pc"""
"17626,""CS3"",""R2"",9,""45"",603,616,""28pc"""
"17924,""CS3"",""R2"",9,""46"",983,704,""28pc"""
"18025,""CS3"",""R2"",6,""47"",701,638,""28pc"""
"18324,""CS3"",""R2"",9,""48"",833,634,""28pc"""
"18724,""CS3"",""R2"",8,""49"",755,628,""28pc"""
"19129,""CS3"",""R1"",8,""50"",700,629.5,""28pc"""
"11006,""CS-"",""R2"",12,""1"",546,452,""29ms"""
"5132,""CS-"",""R1"",11,""2"",1096,458,""29ms"""
"6132,""CS-"",""R2"",13,""3"",570,452,""29ms"""
"10132,""CS-"",""R1"",13,""4"",593,455,""29ms"""
"11133,""CS-"",""R1"",13,""5"",693,466,""29ms"""
"12133,""CS-"",""R2"",13,""6"",609,451.5,""29ms"""
"2329,""CS-"",""R2"",13,""7"",610,453.5,""29ms"""
"3526,""CS-"",""R1"",12,""8"",601,439.5,""29ms"""
"3627,""CS-"",""R2"",12,""9"",593,450.5,""29ms"""
"3727,""CS-"",""R2"",13,""10"",900,460,""29ms"""
"4227,""CS-"",""R2"",13,""11"",750,458,""29ms"""
"5133,""CS-"",""R2"",13,""12"",596,454,""29ms"""
"5326,""CS-"",""R2"",12,""13"",641,460,""29ms"""
"5626,""CS-"",""R2"",12,""14"",1298,454,""29ms"""
"6026,""CS-"",""R2"",12,""15"",584,466.5,""29ms"""
"6229,""CS-"",""R2"",13,""16"",623,458,""29ms"""
"6327,""CS-"",""R2"",13,""17"",797,453.5,""29ms"""
"7527,""CS-"",""R2"",13,""18"",546,453,""29ms"""
"7627,""CS-"",""R2"",12,""19"",669,458.5,""29ms"""
"7826,""CS-"",""R2"",13,""20"",832,455,""29ms"""
"8131,""CS-"",""R2"",12,""21"",674,444.5,""29ms"""
"8626,""CS-"",""R2"",12,""22"",620,456.5,""29ms"""
"9027,""CS-"",""R2"",12,""23"",627,444.5,""29ms"""
"9427,""CS-"",""R2"",12,""24"",853,422.5,""29ms"""
"9827,""CS-"",""R2"",13,""25"",575,421.5,""29ms"""
"10527,""CS-"",""R2"",12,""26"",657,438,""29ms"""
"10627,""CS-"",""R2"",12,""27"",857,426,""29ms"""
"10927,""CS-"",""R2"",11,""28"",1010,424,""29ms"""
"11134,""CS-"",""R2"",12,""29"",908,426,""29ms"""
"11625,""CS-"",""R2"",12,""30"",847,438.5,""29ms"""
"12627,""CS-"",""R2"",11,""31"",1403,429,""29ms"""
"13131,""CS-"",""R1"",12,""32"",678,422,""29ms"""
"13327,""CS-"",""R2"",13,""33"",581,423,""29ms"""
"13426,""CS-"",""R2"",13,""34"",541,425,""29ms"""
"13827,""CS-"",""R1"",13,""35"",742,421.5,""29ms"""
"14229,""CS-"",""R1"",12,""36"",967,453,""29ms"""
"14327,""CS-"",""R1"",12,""37"",897,460,""29ms"""
"14926,""CS-"",""R2"",12,""38"",782,444.5,""29ms"""
"15328,""CS-"",""R2"",12,""39"",904,432,""29ms"""
"15626,""CS-"",""R2"",12,""40"",662,430.5,""29ms"""
"16427,""CS-"",""R2"",12,""41"",606,440.5,""29ms"""
"17026,""CS-"",""R2"",11,""42"",1236,460,""29ms"""
"17228,""CS-"",""R2"",12,""43"",613,443,""29ms"""
"17925,""CS-"",""R2"",12,""44"",915,448,""29ms"""
"18325,""CS-"",""R2"",13,""45"",780,439.5,""29ms"""
"18824,""CS-"",""R1"",13,""46"",673,451,""29ms"""
"19130,""CS-"",""R2"",13,""47"",615,467,""29ms"""
"19227,""CS-"",""R2"",13,""48"",570,456,""29ms"""
"19525,""CS-"",""R2"",13,""49"",763,459,""29ms"""
"19924,""CS-"",""R1"",13,""50"",634,461.5,""29ms"""
"7131,""CS1"",""R1"",12,""1"",523,456,""29ms"""
"8132,""CS1"",""R1"",12,""2"",596,460,""29ms"""
"9133,""CS1"",""R1"",13,""3"",521,459,""29ms"""
"17132,""CS1"",""R1"",13,""4"",676,460,""29ms"""
"2036,""CS1"",""R2"",13,""5"",656,458,""29ms"""
"2529,""CS1"",""R1"",13,""6"",610,454,""29ms"""
"2727,""CS1"",""R1"",14,""7"",536,453,""29ms"""
"2827,""CS1"",""R1"",13,""8"",573,447,""29ms"""
"2926,""CS1"",""R1"",13,""9"",691,450,""29ms"""
"3328,""CS1"",""R1"",11,""10"",669,453,""29ms"""
"4133,""CS1"",""R1"",13,""11"",689,451,""29ms"""
"4627,""CS1"",""R1"",11,""12"",550,449,""29ms"""
"4727,""CS1"",""R1"",11,""13"",883,450.5,""29ms"""
"4827,""CS1"",""R1"",13,""14"",598,458,""29ms"""
"4927,""CS1"",""R1"",13,""15"",523,449,""29ms"""
"5726,""CS1"",""R1"",12,""16"",623,444,""29ms"""
"5827,""CS1"",""R1"",12,""17"",734,455,""29ms"""
"6726,""CS1"",""R1"",10,""18"",701,470,""29ms"""
"7026,""CS1"",""R1"",13,""19"",652,445.5,""29ms"""
"7427,""CS1"",""R1"",13,""20"",667,451,""29ms"""
"8229,""CS1"",""R1"",11,""21"",1594,456,""29ms"""
"8327,""CS1"",""R1"",13,""22"",632,455,""29ms"""
"8526,""CS1"",""R1"",14,""23"",253,460,""29ms"""
"8726,""CS1"",""R1"",12,""24"",748,453,""29ms"""
"9526,""CS1"",""R1"",12,""25"",537,421,""29ms"""
